No.,Title,IMDb Rating
1,,
2,"Priscilla (

10,887)",
3,Spider-Man: Beyond the Spider-Verse (2024),
4,Rebel Moon (2023),
5,Dune: Part Two (2023),
6,Five Nights at Freddy's (2023),
7,Kraven the Hunter (2023),
8,Drive-Away Dolls (2023),
9,Expend4bles (2023),
10,Heart of Stone (2023),
11,Challengers (2023),
12,The Beanie Bubble (2023),
13,Zoey 102 (2023),
14,Cobweb (2023),
15,Oppenheimer (2023),
16,Barbie (2023),
17,A trav s del mar (2023),5.0
18,Mission: Impossible - Dead Reckoning Part One (2023),
19,Adipurush (2023),4.4
20,Black Clover: Sword of the Wizard King (2023),7.6
21,No Hard Feelings (2023),6.8
22,"Ruby Gillman, Teenage Kraken (2023)",5.9
23,The Flash (2023),7.2
24,Extraction 2 (2023),7.1
25,Take Care of Maya (2023),8.0
26,Spider-Man: Across the Spider-Verse (2023),8.9
27,The Boogeyman (2023),6.1
28,Elemental (2023),7.1
29,Transformers: Rise of the Beasts (2023),6.5
30,Kandahar (2023),6.0
31,About My Father (2023),5.8
32,The Machine (2023),6.1
33,Asteroid City (2023),7.1
34,Killers of the Flower Moon (2023),
35,Indiana Jones and the Dial of Destiny (2023),
36,Fast X (2023),5.9
37,The Little Mermaid (2023),7.2
38,Culpa m a (2023),6.3
39,Guardians of the Galaxy Vol. 3 (2023),8.2
40,Ghosted (2023),5.8
41,Guy Ritchie's The Covenant (2023),7.5
42,Nefarious (2023),6.3
43,The Pope's Exorcist (2023),6.1
44,The Super Mario Bros. Movie (2023),7.1
45,Beau Is Afraid (2023),7.0
46,Renfield (2023),6.4
47,Air (2023),7.5
48,Joy Ride (2023),6.6
49,Evil Dead Rise (2023),6.7
50,Shazam! Fury of the Gods (2023),6.0
51,John Wick: Chapter 4 (2023),7.9
52,Hypnotic (2023),5.5
53,The Wrath of Becky (2023),6.0
54,Flamin' Hot (2023),6.9
55,Dungeons & Dragons: Honor Among Thieves (2023),7.3
56,Scream VI (2023),6.6
57,65 (2023),5.4
58,Creed III (2023),6.8
59,Reality (2023),6.7
60,BlackBerry (2023),7.5
61,Ant-Man and the Wasp: Quantumania (2023),6.1
62,Past Lives (2023),8.4
63,A Man Called Otto (2022),7.5
64,Babylon (2022),7.2
65,Avatar: The Way of Water (2022),7.6
66,Sound of Freedom (2022),7.8
67,The Blackening (2022),6.5
68,Sanctuary (2022),6.6
69,Chevalier (2022),6.6
70,The Menu (2022),7.2
71,Sisu (2022),6.9
72,Don't Worry Darling (2022),6.3
73,The Whale (2022),7.7
74,Bullet Train (2022),7.3
75,Top Gun: Maverick (2022),8.3
76,X (2022),6.6
77,Everything Everywhere All at Once (2022),7.8
78,The Batman (2022),7.8
79,Spider-Man: No Way Home (2021),8.2
80,Dune: Part One (2021),8.0
81,Extraction (2020),6.8
82,Midsommar (2019),7.1
83,The Mule (2018),7.0
84,Spider-Man: Into the Spider-Verse (2018),8.4
85,Love (2015),6.1
86,Interstellar (2014),8.7
87,John Wick (2014),7.4
88,Inception (2010),8.8
89,Avatar (2009),7.9
90,The Dark Knight (2008),9.0
91,Harry Potter and the Sorcerer's Stone (2001),7.6
92,Titanic (1997),7.9
93,The Full Monty (1997),7.2
94,The Shawshank Redemption (1994),9.3
95,A Bronx Tale (1993),7.8
96,Batman (1989),7.5
97,Indiana Jones and the Last Crusade (1989),8.2
98,Indiana Jones and the Temple of Doom (1984),7.5
99,Raiders of the Lost Ark (1981),8.4
100,Jaws (1975),8.1
101,The Godfather (1972),9.2
